                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4421,                  2.034,                 1.5928,                0.65036,                0.31351,                0.35955,                0.21929,                 1.5358,                 2.3166,                 1.6247,             0.00064762,             0.00064762,             0.00064762
                      2,                 1.2821,                 1.3899,                 1.4346,                0.56484,                0.42027,                0.44248,                0.23729,                 1.6904,                  2.008,                  1.797,              0.0012998,              0.0012998,              0.0012998
                      3,                 1.3086,                 1.3234,                 1.4546,                0.38331,                0.42703,                0.36742,                0.17976,                 1.7414,                 2.5568,                 2.1221,              0.0019374,              0.0019374,              0.0019374
                      4,                 1.2863,                 1.2325,                 1.4506,                0.76445,                0.58243,                0.67651,                0.38831,                 1.5758,                 1.4854,                 1.7099,               0.001934,               0.001934,               0.001934
                      5,                 1.2554,                 1.1978,                  1.412,                0.74184,                0.58248,                0.65659,                0.34908,                 1.5914,                 1.5059,                 1.7046,               0.001912,               0.001912,               0.001912
                      6,                 1.2414,                 1.1215,                 1.4071,                0.72469,                0.62838,                0.69561,                0.40789,                 1.5127,                 1.3853,                  1.592,                0.00189,                0.00189,                0.00189
                      7,                 1.2412,                 1.1275,                 1.4208,                0.76569,                0.65356,                 0.7341,                0.45339,                 1.3776,                 1.2835,                 1.4881,               0.001868,               0.001868,               0.001868
                      8,                 1.2343,                 1.0771,                 1.3897,                0.77674,                  0.677,                0.74074,                0.42368,                 1.4964,                 1.4567,                 1.5722,               0.001846,               0.001846,               0.001846
                      9,                 1.2034,                 1.0816,                 1.3953,                0.83082,                 0.6437,                0.74797,                0.46503,                 1.3749,                  1.149,                 1.4708,               0.001824,               0.001824,               0.001824
                     10,                 1.1943,                0.99958,                 1.3762,                0.82321,                0.58521,                0.72283,                0.44032,                 1.4529,                 1.1869,                 1.5307,               0.001802,               0.001802,               0.001802
                     11,                 1.1634,                 1.0189,                 1.3606,                0.80229,                0.61892,                0.74775,                 0.4488,                  1.413,                  1.123,                 1.5184,                0.00178,                0.00178,                0.00178
                     12,                 1.1542,                 1.0123,                  1.355,                0.79556,                 0.6994,                0.77823,                0.49468,                  1.326,                  1.037,                 1.4242,               0.001758,               0.001758,               0.001758
                     13,                 1.1486,                0.95356,                  1.341,                0.83021,                0.69324,                0.78658,                0.48172,                 1.4141,                 1.1188,                 1.4967,               0.001736,               0.001736,               0.001736
                     14,                 1.1586,                0.99231,                 1.3438,                0.82889,                0.70676,                0.79192,                0.51208,                 1.2804,                 1.1391,                 1.3837,               0.001714,               0.001714,               0.001714
                     15,                 1.1627,                0.96086,                 1.3501,                0.81812,                0.69904,                0.79702,                0.51043,                 1.3133,                0.96131,                 1.4215,               0.001692,               0.001692,               0.001692
                     16,                 1.1322,                0.92177,                 1.3245,                0.83321,                0.71216,                0.80078,                0.51803,                  1.299,                0.96983,                 1.3886,                0.00167,                0.00167,                0.00167
                     17,                 1.1116,                0.90382,                 1.2974,                0.84868,                0.69727,                0.79567,                0.52427,                 1.2764,                 1.0156,                 1.3715,               0.001648,               0.001648,               0.001648
                     18,                 1.1181,                0.88831,                 1.3044,                0.82395,                0.70135,                0.80251,                0.52369,                 1.2862,                0.98647,                 1.3693,               0.001626,               0.001626,               0.001626
                     19,                  1.104,                0.89764,                 1.3181,                0.82009,                0.68378,                0.79331,                0.51308,                 1.2923,                 1.0384,                 1.3825,               0.001604,               0.001604,               0.001604
                     20,                 1.0881,                 0.8901,                 1.2957,                0.80759,                0.70332,                0.78885,                0.49658,                 1.3332,                 1.0192,                  1.402,               0.001582,               0.001582,               0.001582
                     21,                 1.0969,                0.88036,                 1.3245,                0.86429,                0.64189,                0.77639,                0.48727,                 1.3322,                 1.0197,                 1.4195,                0.00156,                0.00156,                0.00156
                     22,                 1.0694,                0.83619,                 1.2996,                0.83786,                0.73378,                0.80989,                0.53451,                 1.2497,                  0.925,                 1.3566,               0.001538,               0.001538,               0.001538
                     23,                 1.0654,                0.85524,                 1.2918,                0.80535,                0.71081,                0.79359,                0.50415,                 1.3088,                0.98497,                 1.3933,               0.001516,               0.001516,               0.001516
                     24,                 1.0826,                0.86709,                 1.3025,                 0.8044,                0.72568,                0.81563,                 0.5236,                 1.3344,                0.92899,                 1.4222,               0.001494,               0.001494,               0.001494
                     25,                 1.0825,                0.83825,                 1.2902,                0.84545,                0.75135,                0.82465,                0.53013,                 1.3014,                0.91814,                 1.4055,               0.001472,               0.001472,               0.001472
                     26,                 1.0935,                0.85037,                 1.2994,                0.82145,                0.71216,                0.79732,                0.53362,                 1.2701,                0.99395,                 1.3438,                0.00145,                0.00145,                0.00145
                     27,                  1.053,                0.83361,                 1.2939,                0.83371,                0.69865,                 0.7919,                0.49993,                 1.3115,                0.98122,                 1.4176,               0.001428,               0.001428,               0.001428
                     28,                   1.07,                0.82618,                  1.285,                0.84025,                0.69595,                0.79301,                0.51347,                 1.3095,                0.93105,                 1.3897,               0.001406,               0.001406,               0.001406
